---,BuildingType,Stability,bMustbePlacedonRock,bCanBePlacedOnSand,bCanBePlacedOnRock,bMustbeNextWater,bDoesNeedWater,"GridSize (x, y)",HeightBonus,bIsSpline,bIsStoneBuilding,bSnaps,bCanHaveAddOns,PossibleAddons,bIsAddon,PossibleBases,ConstructionMeshes,BaseMeshes,DamageMeshes,BurningMeshes,BuildingTime,BC Wood,BC Stone,BC Clay,BC SlackedLime,BC Iron,BC Cloth,BC Tar,Consumes,BHasCollisions,Description,MaxWorkingOccupants,MaxOccupants,Linked Widget UI,bStoresWares,SpawnsUnit,bHasTorches
Makeshift Shelter,Communal,10,,,,,TRUE,2x2,0,false,false,false,false,-,-,-,-,-,-,-,5,4,-,6,-,-,-,-,-,yes,A house for your villagers to live.,-,-,,-,a mother with kid in arm,-
House,Communal,50,,,,,TRUE,2x3,0,false,false,false,false,-,-,-,-,-,-,-,30,4,-,6,-,-,-,-,-,yes,A house for your villagers to live.,-,-,,-,a mother with kid in arm,
Lord's House,Communal,50,,,,,TRUE,3x4,0,false,false,false,false,-,-,-,-,-,-,-,30,4,-,6,-,-,-,-,-,yes,A house for your villagers to live.,-,-,,-,a mother with kid in arm,
Granary,Communal,50,,,,,,2x2,0,false,false,false,false,-,-,-,-,-,-,-,20,2,-,4,-,-,-,-,-,yes,Stores your foods dry.,-,-,,yes (250 foods),Cats,
Tavern,Communal,100,,,,,TRUE,3x4,0,false,false,false,false,-,-,-,-,-,-,-,40,6,-,8,-,-,-,-,-,yes,A place for amusement and finding contractors.,1,-,,"yes (beer, vine)",a innkeeper (social hints),
Market Square,Communal,100,,,,,,10x10,0,false,true,false,false,-,-,-,-,-,-,-,60,-,50,-,-,-,-,-,-,no,"Center of the public, allows to trade and hold festivities.",1,-,,-,a merchant (trade),
"Pillory, Gallows",Communal,10,,,,,,1x1,0,false,false,false,false,-,-,-,-,-,-,-,10,1,-,-,-,-,-,-,-,yes,Public penalty for criminals.,-,-,,-,-,
Communal Statues,Communal,20,,,,,,1x1,0,false,true,false,false,-,-,-,-,-,-,-,120,-,1,-,-,-,-,-,-,yes,symbol of religous devotion,-,-,,-,-,
Banners,Communal,3,,,,,,1x1,0,false,false,false,false,-,-,-,-,-,-,-,10,1,-,-,-,-,-,-,-,yes,The banner of the castle.,-,-,,-,-,
Religious Statues,Religious,20,,,,,,1x1,0,false,true,false,false,-,-,-,-,-,-,-,120,-,1,-,-,-,-,-,-,yes,symbol of religous devotion,-,-,,-,-,
